"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Bullet 12","Bullet 13","Bullet 14","Bullet 15","Anti-Glare
","Anti-Reflective
","Aspect Ratio
","Filter Color
","Brand ","Brand of Device","Device Model Name
","Device Type
","Display Diagonal
","Durable Screen Protection
","Filter Type
","Orientation
","Privacy
","Scratch Resistant
","Screen Attachment

","Screen Format
","Touch Compatibility
","Warranty Period
","UPC ","Image ID","Image URL"
"AFTDE001","3M™ Anti-Glare Screen Protector for Dell™ Rugged Tablet 7202","3M™ Anti-Glare Screen Protector for Dell™ Rugged Tablet 7202","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from bright lights","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","High quality, touch-responsive matte surface feels smooth to the touch","Residue-free adhesive-backed filter attaches easily and removes cleanly","100% hand inspected for quality assurance               
","","","","","","","","Yes","No","16:9","Clear","3M™","Dell™","Rugged Tablet 7202","Tablets","11.6 inches","Yes","Screen Protector","","No","Yes","Adhesive Backed","","Yes","Limited 1-year warranty","00051128007334","872673","http://multimedia.3m.com/mws/media/1392964Z/pf160w9b-wslaptop.jpg"
"PFNDE004","3M™ Privacy Filter for Dell™ Latitude™ 13 7000 Series Model 7370","3M™ Privacy Filter for Dell™ Latitude™ 13 7000 Series Model 7370","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","Yes","No","16:9","Black","3M™","Dell™","Latitude™ 13 7000 Series Model 7370
XPS 13 (9350)
XPS 13 2-in-1 (9365)
XPS 13 (9360)","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","Yes","Limited 1-year warranty","00051128007341","1171015","http://multimedia.3m.com/mws/media/1171015O/universalblackprivacyfilter-raisedbezelscreenfit-bty.jpg"
"PFNHP013","3MTM Privacy Filter for HP® Elitebook Folio G1","3MTM Privacy Filter for HP® Elitebook Folio G1","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","Yes","No","16:9","Black","3M™","HP®","EliteBook Folio G1","Laptops","12.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","Yes","Limited 1-year warranty","00051128007440","1162115"," http://multimedia.3m.com/mws/media/1162115O/chromebookpixel-black-privacy-filter-bty-rgb-150-jpg.jpg"
"MPPAP010","3M™ Privacy Screen Protector for Apple® iPhone® 6 Plus/6S Plus/7 Plus","3M™ Privacy Screen Protector for Apple® iPhone® 6 Plus/6S Plus/7 Plus","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Effective privacy in portrait mode; change orientation for shareable screen viewing","Thin and touch-sensitive","Incredible image clarity and glossy finish","Custom fit for various phone sizes and brands","Adds an extra layer of protection from everyday scratches and dust","Residue-free adhesive-backed screen protector attaches easily and removes cleanly","100% hand inspected for quality assurance","","","","","","","","No","Yes","","Black","3M™","Apple®","iPhone® 6 Plus/6S Plus/7 Plus","Smartphones","5.5 inches","Yes","Screen Protector","Portrait","Yes","Yes","Adhesive Backed","","Yes","Limited 1-year warranty","00051128007488","1286235","http://multimedia.3m.com/mws/media/1286235O/mppap010-34871967344-ft.png"
"UCPAP004","3M™ Ultra Clear Screen Protector for Apple® iPhone® 6 Plus/6S Plus/7 Plus","3M™ Ultra Clear Screen Protector for Apple® iPhone® 6 Plus/6S Plus/7 Plus","Incredible high-resolution clarity","Anti-reflective technology increases display contrast","Smooth, touch-responsive surface","Gives screens a layer of durable protection from dust and scratches","Innovative stay-clean edge technology helps prevent grime from collecting on film edges","Residue-free adhesive-backed screen protector attaches easily and removes cleanly","100% hand inspected for quality assurance","","","","","","","","","No","Yes","","Clear","3M™","Apple®","iPhone® 6 Plus/6S Plus/7 Plus","Smartphones","5.5 inches","Yes","Screen Protector","Portrait","No","Yes","Adhesive Backed","","Yes","Limited 1-year warranty","00051128007501","1286248","http://multimedia.3m.com/mws/media/1286248Z/ucpap004-34871967369-ft.jpg"
"PFMDE001","3M™ Privacy Filter for Dell™ U3415W Monitor","3M™ Privacy Filter for Dell™ U3415W Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","21:9","Black","3M™","
Dell™
LG ","U3415W
34UC87M-8","Monitors","34 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007518","1335595","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg"
"MPPGG003   ","3M™ Privacy Screen Protector for Google™ Pixel Phone ","3M™ Privacy Screen Protector for Google™ Pixel Phone ","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Effective privacy in portrait mode; change orientation for shareable screen viewing","Thin and touch-sensitive","Incredible image clarity and glossy finish","Custom fit for various phone sizes and brands","Adds an extra layer of protection from everyday scratches and dust","Residue-free adhesive-backed screen protector attaches easily and removes cleanly ","100% hand inspected for quality assurance               
","","","","","","","","Yes","No","","Black","3M™","Google™ ","Pixel","Smartphones","5 inches","Yes","Screen Protector ","Portrait","Yes","Yes","Adhesive Backed","","Yes","Limited 1-year warranty","00051128007587","1330273","http://multimedia.3m.com/mws/media/1330273Z/mppgg003-pixel-34872004337-ft-rgb-150-png.jpg"
"MPPGG004","3M™ Privacy Screen Protector for Google™ Pixel XL  Phone","3M™ Privacy Screen Protector for Google™ Pixel XL  Phone","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Effective privacy in portrait mode; change orientation for shareable screen viewing","Thin and touch-sensitive","Incredible image clarity and glossy finish","Custom fit for various phone sizes and brands","Adds an extra layer of protection from everyday scratches and dust","Residue-free adhesive-backed screen protector attaches easily and removes cleanly ","100% hand inspected for quality assurance               
","","","","","","","","Yes","No","","Black","3M™","Google™ ","Pixel XL","Smartphones","5.5 inches","Yes","Screen Protector ","Portrait","Yes","Yes","Adhesive Backed","","Yes","Limited 1-year warranty","00051128007594","1330277","http://multimedia.3m.com/mws/media/1330277Z/mppgg004-pixelplus-34872004345-ft-rgb-150-png.jpg"
"PFNAP008","3M™ Privacy Filter for 15"" Apple® MacBook Pro® (2016 model)","3M™ Privacy Filter for 15"" Apple® MacBook Pro® (2016 model)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Our thinnest privacy filter designed for today’s thinnest screens","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","Yes","No","8:5","Black","3M™","Apple®","MacBook Pro® 15-inch","Laptops","15.4 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007600","1365369","http://multimedia.3m.com/mws/media/1365369Z/pfnap008-macbook-34872010102-ft-rgb-jpg.jpg"
"PFNAP007","3M™ Privacy Filter for 13"" Apple® MacBook Pro® (2016 model)","3M™ Privacy Filter for 13"" Apple® MacBook Pro® (2016 model)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Our thinnest privacy filter designed for today’s thinnest screens","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","Yes","No","8:5","Black","3M™","Apple®","MacBook Pro® 13-inch ","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007617","1365365","http://multimedia.3m.com/mws/media/1365365Z/pfnap007-macbook-34872010094-ft-rgb-jpg.jpg"
"PF315W9B","3M™ Privacy Filter for 31.5"" Widescreen Monitor (16:9)","3M™ Privacy Filter for 31.5"" Widescreen Monitor (16:9)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:9","Black","3M™","","","Monitors","31.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007662","1335595","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg"
"PF340W2B","3M™ Privacy Filter for 34"" Widescreen Monitor (21:9)","3M™ Privacy Filter for 34"" Widescreen Monitor (21:9)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","21:9","Black","3M™","","","Monitors","34 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007686","1335595","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg"
"HC215W9B","3M™ High Clarity Privacy Filter for 21.5"" Widescreen Monitor ","3M™ High Clarity Privacy Filter for 21.5"" Widescreen Monitor ","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:9","Black","3M™","","","Monitors","21.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007730","1364811","http://multimedia.3m.com/mws/media/1364811Z/hc215w9b-monitor-34872027395-ft-rgb-jpg.jpg"
"HC230W9B","3M™ High Clarity Privacy Filter for 23"" Widescreen Monitor ","3M™ High Clarity Privacy Filter for 23"" Widescreen Monitor ","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:9","Black","3M™","","","Monitors","23 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007747","1364815","http://multimedia.3m.com/mws/media/1364815Z/hc230w9b-monitor-34872027403-ft-rgb-jpg.jpg"
"HC240W1B","3M™ High Clarity Privacy Filter for 24"" Widescreen Monitor (16:10)","3M™ High Clarity Privacy Filter for 24"" Widescreen Monitor (16:10)","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","0.67361111111111","Black","3M™","","","Monitors","24 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007754","1364819","http://multimedia.3m.com/mws/media/1364819Z/hc240w1b-monitor-34872027411-ft-rgb-jpg.jpg"
"AGNAP001","3M™ Anti-Glare Filter for Apple® MacBook Pro® 13 (2016 model)","3M™ Anti-Glare Filter for Apple® MacBook Pro® 13 (2016 model)","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance","","","","","","","","Yes","No","8:5","Clear","3M™","Apple®","MacBook Pro® 13-inch ","Laptops","13.3 inches","Yes","Frameless","Landscape","No","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007808 ","1367532","http://multimedia.3m.com/mws/media/1367528Z/agnap001-macbookpro-34872028047-ft-rgb-jpg.jpg
"
"AGNAP002","3M™ Anti-Glare Filter for Apple® MacBook Pro® 15 (2016 model)","3M™ Anti-Glare Filter for Apple® MacBook Pro® 15 (2016 model)","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance","","","","","","","","Yes","No","8:5","Clear","3M™","Apple®","MacBook Pro® 15-inch","Laptops","15.4 inches","Yes","Frameless","Landscape","No","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007815","1367528","http://multimedia.3m.com/mws/media/1367532Z/agnap002-macbookpro-34872027999-ft-rgb-jpg.jpg"
"PF320W9B","3M™ Privacy Filter for 32"" Widescreen Monitor","3M™ Privacy Filter for 32"" Widescreen Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:9","Black","3M™","","","Monitors","32 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007655","1335595","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg"
"PFMDE002 ","3M Privacy Filter for Dell™ OptiPlex 3240 All-In-One","3M Privacy Filter for Dell™ OptiPlex 3240 All-In-One","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","Yes","No","16:9","Black","3M™","Dell™ ","OptiPlex 3240 All-In-One
OptiPlex 5250 All-In-One","Monitors","21.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","Limited 1-year warranty","00051128008072","1335595","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg"
"PFMDE003","3M Privacy Filter for Dell™ OptiPlex 7440 All-In-One               ","3M Privacy Filter for Dell™ OptiPlex 7440 All-In-One               ","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","Yes","No","16:9","Black","3M™","Dell™ ","OptiPlex 7440 All-In-One 
OptiPlex 7450 All-In-One ","Monitors","23.8 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","Limited 1-year warranty","00051128008089","1335595","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg"
"AGMDE001 ","3M Anti-Glare Filter for Dell™ OptiPlex 3240 All-In-One","3M Anti-Glare Filter for Dell™ OptiPlex 3240 All-In-One","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Ultra-thin and ultra-responsive to the touch, our anti-glare filter provides consistent touch responsiveness without getting in the way of using your device","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips","Custom-cut for your device","100% hand inspected for quality assurance","","","","","","","Yes","No","16:9","Clear","3M™","Dell™ ","OptiPlex 3240 All-In-One
OptiPlex 5250 All-In-One","Monitors","21.5 inches","Yes","Frameless","Landscape","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","Limited 1-year warranty","00051128008096","1260451","http://multimedia.3m.com/mws/media/1260451Z/genericmonitor-antiglare-bty-rgb-jpg.jpg"
"AGMDE002  ","3M Anti-Glare Filter for Dell™ OptiPlex 7440 All-In-One         ","3M Anti-Glare Filter for Dell™ OptiPlex 7440 All-In-One         ","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Ultra-thin and ultra-responsive to the touch, our anti-glare filter provides consistent touch responsiveness without getting in the way of using your device","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips","Custom-cut for your device","100% hand inspected for quality assurance","","","","","","","Yes","No","16:9","Clear","3M™","Dell™ ","OptiPlex 7440 All-In-One 
OptiPlex 7450 All-In-One ","Monitors","23.8 inches","Yes","Frameless","Landscape","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","Limited 1-year warranty","00051128008102","1260451","http://multimedia.3m.com/mws/media/1260451Z/genericmonitor-antiglare-bty-rgb-jpg.jpg"
"HCNAP001","3M™ High Clarity Privacy Filter for 13"" Apple® MacBook Pro® (2016 model)","3M™ High Clarity Privacy Filter for 13"" Apple® MacBook Pro® (2016 model)","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution laptops and displays","Reduces 35% of blue light transmission from the display","Custom-cut for your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","8:5","Black","3M™","Apple®","MacBook Pro® 13-inch ","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007945","1393682","http://multimedia.3m.com/mws/media/1393682Z/hcnap001-macbookpro2016-34872060578.jpg"
"HCNAP002","3M™ High Clarity Privacy Filter for 15"" Apple® MacBook Pro® (2016 model)","3M™ High Clarity Privacy Filter for 15"" Apple® MacBook Pro® (2016 model)","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution laptops and displays","Reduces 35% of blue light transmission from the display","Custom-cut for your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","8:5","Black","3M™","Apple®","MacBook Pro® 15-inch","Laptops","15.4 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007952","1393686","http://multimedia.3m.com/mws/media/1393686Z/hcnap002-macbookpro2016-34872060586.jpg"
"HCMAP001","3M™ High Clarity Privacy Filter for 21.5"" Apple® iMac®","3M™ High Clarity Privacy Filter for 21.5"" Apple® iMac®","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Custom-cut for your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:9","Black","3M™","Apple®","iMac®","Monitors","21.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007969","1393674","http://multimedia.3m.com/mws/media/1393674Z/hcmap001-imac21-34872060602.jpg"
"HCMAP002","3M™ High Clarity Privacy Filter for 27"" Apple® iMac®","3M™ High Clarity Privacy Filter for 27"" Apple® iMac®","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Custom-cut for your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:9","Black","3M™","Apple®","iMac®","Monitors","27 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","Limited 1-year warranty","00051128007976","1393678","http://multimedia.3m.com/mws/media/1393678E/hcmap002-imac27-34872060636.jpg"
"HC140W9B","3M™ High Clarity Privacy Filter for 14"" Widescreen Laptop","3M™ High Clarity Privacy Filter for 14"" Widescreen Laptop","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution laptops and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:9","Black","3M™","","","Laptops","14 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007983","1393636","http://multimedia.3m.com/mws/media/1393636Z/hc140w9b-wslaptop-34872060669.jpg"
"HC156W9B","3M™ High Clarity Privacy Filter for 15.6"" Widescreen Laptop","3M™ High Clarity Privacy Filter for 15.6"" Widescreen Laptop","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution laptops and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:9","Black","3M™","","","Laptops","15.6 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128007990","1393640","http://multimedia.3m.com/mws/media/1393640Z/hc156w9b-wslaptop-34872060685.jpg"
"HC220W1B","3M™ High Clarity Privacy Filter for 22"" Widescreen Monitor (16:10) ","3M™ High Clarity Privacy Filter for 22"" Widescreen Monitor (16:10) ","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","","","","","No","No","16:10","Black","3M™","","","Monitors","22 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","Limited 1-year warranty","00051128008008","1393646","http://multimedia.3m.com/mws/media/1393646Z/hc220w1b-wsmonitor-34872060719.jpg"
