"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Bullet 12","Bullet 13","Bullet 14","Bullet 15","Anti-Glare
","Anti-Reflective
","Aspect Ratio
","Filter Color
","Brand ","Brand of Device","Device Model Name
","Device Type
","Display Diagonal
","Durable Screen Protection
","Filter Type
","Orientation
","Privacy
","Scratch Resistant
","Screen Attachment

","Screen Format
","Touch Compatibility
","Viewing Area Dimensions - Metric (width x height)
","Viewing Area Dimensions (width x height)
","Warranty Period
","UPC ","Image ID","Image URL"
"GF133W1B","3M™ Gold Privacy Filter for 13.3"" Widescreen Laptop (16:10)","3M™ Gold Privacy Filter for 13.3"" Widescreen Laptop (16:10)","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:10","Gold","3M™","","","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","287 mm x 179 mm","11 5/16"" x 7 1/16""","Limited 1-year warranty","00051128788868","1366965","http://multimedia.3m.com/mws/media/1366965Z/gf133w1b-laptop-34871995576-ft-rgb-jpg.jpg"
"GF140W9B","3M™ Gold Privacy Filter for 14"" Widescreen Laptop","3M™ Gold Privacy Filter for 14"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:9","Gold","3M™","","","Laptops","14 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","310 mm x 175 mm","12 3/16"" x 6 7/8""","Limited 1-year warranty","00051128788875","1366973","http://multimedia.3m.com/mws/media/1366973Z/gf140w9b-laptop-34871995600-ft-rgb-jpg.jpg"
"GF170W1B","3M™ Gold Privacy Filter for 17"" Widescreen Laptop","3M™ Gold Privacy Filter for 17"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:10","Gold","3M™","","","Laptops","17 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","368 mm x 230 mm","14 1/2"" x 9 1/16""","Limited 1-year warranty","00051128788882","1366993","http://multimedia.3m.com/mws/media/1366993Z/gf170w1b-monitor-34871995667-ft-rgb-jpg.jpg"
"GF101W9B","3M™ Gold Privacy Filter for 10.1"" Widescreen Laptop","3M™ Gold Privacy Filter for 10.1"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:9","Gold","3M™","","","Laptops","10.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","223 mm x 126 mm","8 13/16"" x 4 15/16""","Limited 1-year warranty","00051128788929","1366949","http://multimedia.3m.com/mws/media/1366949Z/gf101w9b-laptop-34871995501-ft-rgb-jpg.jpg"
"GF133W9B","3M™ Gold Privacy Filter for 13.3"" Widescreen Laptop","3M™ Gold Privacy Filter for 13.3"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:9","Gold","3M™","","","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","294 mm x 166 mm","11 9/16"" x 6 1/2""","Limited 1-year warranty","00051128797198","1366969","http://multimedia.3m.com/mws/media/1366969Z/gf133w9b-laptop-34871995592-ft-rgb-jpg.jpg
"
"GF116W9B","3M™ Gold Privacy Filter for 11.6"" Widescreen Laptop","3M™ Gold Privacy Filter for 11.6"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:9","Gold","3M™","","","Laptops","11.6 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","257 mm x 145 mm","10 1/8"" x 5 11/16""","Limited 1-year warranty","00051128797204","1366953","http://multimedia.3m.com/mws/media/1366953Z/gf116w9b-laptop-34871995535-ft-rgb-jpg.jpg"
"GF170C4B","3M™ Gold Privacy Filter for 17"" Standard Monitor","3M™ Gold Privacy Filter for 17"" Standard Monitor","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Perfectly suited for most of today’s high-resolution monitors and displays","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance ","","","","","No","No","5:4","Gold","3M™","","","Monitors","17 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","338 mm x 271 mm","13 5/16"" x 10 11/16""","Limited 1-year warranty","00051128797280","1366989","http://multimedia.3m.com/mws/media/1366989Z/gf170c4b-monitor-34871995642-ft-rgb-jpg.jpg"
"GF190C4B","3M™ Gold Privacy Filter for 19"" Standard Monitor","3M™ Gold Privacy Filter for 19"" Standard Monitor","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Perfectly suited for most of today’s high-resolution monitors and displays","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance ","","","","","No","No","5:4","Gold","3M™","","","Monitors","19 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","377 mm x 302 mm","14 13/16"" x 11 7/8""","Limited 1-year warranty","00051128797297","1366997","http://multimedia.3m.com/mws/media/1366997Z/gf190c4b-monitor-34871995675-ft-rgb-jpg.jpg"
"GF190W1B","3M™ Gold Privacy Filter for 19"" Widescreen Monitor (16:10)","3M™ Gold Privacy Filter for 19"" Widescreen Monitor (16:10)","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Perfectly suited for most of today’s high-resolution monitors and displays","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance ","","","","","No","No","16:10","Gold","3M™","","","Monitors","19 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","408 mm x 255 mm","16 1/16"" x 10 1/16""","Limited 1-year warranty","00051128797303","1367001","http://multimedia.3m.com/mws/media/1367001Z/gf190w1b-monitor-34871995691-ft-rgb-jpg.jpg"
"GF125W9B","3M™ Gold Privacy Filter for 12.5"" Widescreen Laptop","3M™ Gold Privacy Filter for 12.5"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","","","","","No","No","16:9","Gold","3M™","","","Laptops","12.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","277 mm x 156 mm","10 15/16"" x 6 1/8""","Limited 1-year warranty","00051128798751","1366961","http://multimedia.3m.com/mws/media/1366961Z/gf125w9b-laptop-34871995568-ft-rgb-jpg.jpg"
"PFMAP003","3M™ Privacy Filter for 27"" Apple® Thunderbolt","3M™ Privacy Filter for 27"" Apple® Thunderbolt","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:9","Black","3M™","Apple®","Thunderbolt Display","Monitors","27 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","649 mm x 396 mm","25 9/16"" x 15 9/16""","Limited 1-year warranty","00051128827031","1049316","http://multimedia.3m.com/mws/media/1049316O/apple-imac-thunderbolt-privacy-filter-black.jpg"
"GFNAP005","3M™ Gold Privacy Filter for 15"" Apple® MacBook Pro® with Retina® Display (2012-2015)","3M™ Gold Privacy Filter for 15"" Apple® MacBook Pro® with Retina® Display (2012-2015)","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","100% hand inspected for quality assurance","","","","","No","No","16:10","Gold","3M™","Apple®","MacBook Pro® 15-inch with Retina® Display","Laptops","15.4 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","353 mm x 231 mm","13 7/8"" x 9 1/16""","Limited 1-year warranty","00051128827864","1367021","http://multimedia.3m.com/mws/media/1367021Z/gfnap005-macbook-34871995485-ft-rgb-jpg.jpg"
"GFNAP002","3M™ Gold Privacy Filter for 13"" Apple® MacBook Air®","3M™ Gold Privacy Filter for 13"" Apple® MacBook Air®","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","100% hand inspected for quality assurance","","","","","No","No","16:10","Gold","3M™","Apple®","MacBook Air® 13-inch","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","287 mm x 179 mm","11 5/16"" x 7 1/16""","Limited 1-year warranty","00051128826546","1367009","http://multimedia.3m.com/mws/media/1367009Z/gfnap002-macbook-34871995428-ft-rgb-jpg.jpg"
"GFNAP001","3M™ Gold Privacy Filter for 11"" Apple® MacBook Air®","3M™ Gold Privacy Filter for 11"" Apple® MacBook Air®","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","100% hand inspected for quality assurance","","","","","No","No","16:9","Gold","3M™","Apple®","MacBook Air® 11-inch","Laptops","11.6 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","258 mm x 145 mm","10 1/8"" x 5 11/16""","Limited 1-year warranty","00051128826553","1367005","http://multimedia.3m.com/mws/media/1367005Z/gfnap001-macbook-34871995246-ft-rgb-jpg.jpg"
"PFNAP006","3M™ Privacy Filter for 11"" Apple® MacBook Air®","3M™ Privacy Filter for 11"" Apple® MacBook Air®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:9","Black","3M™","Apple®","MacBook Air® 11-inch","Laptops","11.6 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","258 mm x 145 mm","10 1/8"" x 5 11/16""","Limited 1-year warranty","00051128826539","1049294","http://multimedia.3m.com/mws/media/1049294O/macbook-air-black-privacy-filter.jpg"
"PFNAP002","3M™ Privacy Filter for 13"" Apple® MacBook Air®","3M™ Privacy Filter for 13"" Apple® MacBook Air®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:10","Black","3M™","Apple®","MacBook Air® 13-inch","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","287 mm x 179 mm","11 5/16"" x 7 1/16""","Limited 1-year warranty","00051128826560","1049294","http://multimedia.3m.com/mws/media/1049294O/macbook-air-black-privacy-filter.jpg"
"NV828748","3M™ Ultra Clear Screen Protector for Apple® iPhone® 5/5S/5C/SE","3M™ Ultra Clear Screen Protector for Apple® iPhone® 5/5S/5C/SE","Incredible high-resolution clarity","Anti-reflective technology increases display contrast","Smooth, touch-responsive surface","Gives screens a layer of durable protection from dust and scratches","Innovative stay-clean edge technology helps prevent grime from collecting on film edges ","Residue-free adhesive-backed screen protector attaches easily and removes cleanly","100% hand inspected for quality assurance               
","","","","","","","","","No","Yes","","Clear","3M™","Apple®","iPhone® 5/5S/5C/SE","Smartphones","4 inches","Yes","Screen Protector","","No","Yes","Adhesive Backed","","Yes","50 mm x 89 mm","2"" x 3 1/2""","Limited 1-year warranty","00051128828748","1222868","http://multimedia.3m.com/mws/media/1222868O/nv828748-iphone5-5c-5s-se-34871898317.png"
"NVAG828762","3M™ Anti-Glare Screen Protector for Apple® iPhone® 5/5S/5C/SE","3M™ Anti-Glare Screen Protector for Apple® iPhone® 5/5S/5C/SE","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","High quality, touch-responsive matte surface feels smooth to the touch","Custom fit for various phone sizes and brands","Residue-free adhesive-backed screen protector attaches easily and removes cleanly","100% hand inspected for quality assurance               
","","","","","","","Yes","No","","Clear","3M™","Apple®","iPhone® 5/5S/5C/SE","Smartphones","4 inches","Yes","Screen Protector","","No","Yes","Adhesive Backed","","Yes","50 mm x 89 mm","2"" x 3 1/2""","Limited 1-year warranty","00051128828762","1220883","http://multimedia.3m.com/mws/media/1220883O/nvag828762-iphone-5-5c-5s-se-34871898309-ft-rgb-150.png"
"GFNAP004","3M™ Gold Privacy Filter for 13"" Apple® MacBook Pro® with Retina® Display  (2012-2015)","3M™ Gold Privacy Filter for 13"" Apple® MacBook Pro® with Retina® Display  (2012-2015)","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","100% hand inspected for quality assurance","","","","","No","No","16:10","Gold","3M™","Apple®","MacBook Pro® 13-inch with Retina® Display","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","307 mm x 201 mm","12 1/16"" x 7 15/16""","Limited 1-year warranty","00051128829462","1367017","http://multimedia.3m.com/mws/media/1367017Z/gfnap004-macbook-34871995469-ft-rgb-jpg.jpg"
"PFMAP002","3M™ Privacy Filter for 27"" Apple® iMac®","3M™ Privacy Filter for 27"" Apple® iMac®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:9","Black","3M™","Apple®","iMac®","Monitors","27 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","649 mm x 396 mm","25 9/16"" x 15 9/16""","Limited 1-year warranty","00051128829691","1184506","http://multimedia.3m.com/mws/media/1184506O/privacy-filter-imac-34871189535-ft.png"
"PFMAP001","3M™ Privacy Filter for 21.5"" Apple® iMac®","3M™ Privacy Filter for 21.5"" Apple® iMac®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:9","Black","3M™","Apple®","iMac®","Monitors","21.5 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips","Widescreen","No","527 mm x 319 mm","20 3/4"" x 12 9/16""","Limited 1-year warranty","00051128829707","1370369","http://multimedia.3m.com/mws/media/1370369Z/pfmap001-imac-34871996541-ft-rgb-jpg.jpg"
"AG156W9B","3M™ Anti-Glare Filter for 15.6"" Widescreen Laptop","3M™ Anti-Glare Filter for 15.6"" Widescreen Laptop","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance","","","","","","","","Yes","No","16:9","Clear","3M™","","","Laptops","15.6 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","345 mm x 194 mm","13 9/16"" x 7 5/8""","Limited 1-year warranty","00051128829905","1189460","http://multimedia.3m.com/mws/media/1189460Z/ag156w9-34871401112-fr-rgb-150-png.jpg"
"AG190C4B","3M™ Anti-Glare Filter for 19"" Standard Monitor","3M™ Anti-Glare Filter for 19"" Standard Monitor","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","","","","","Yes","No","5:4","Clear","3M™","","","Monitors","19 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Standard","Yes","377 mm x 302 mm","14 13/16"" x 11 7/8""","Limited 1-year warranty","00051128829912","1260379","http://multimedia.3m.com/mws/media/1260379O/ag190c4b-ag-filter-34871944533-ft-rgb-150-png.png"
"AG140W9B","3M™ Anti-Glare Filter for 14"" Widescreen Laptop","3M™ Anti-Glare Filter for 14"" Widescreen Laptop","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance","","","","","","","","Yes","No","16:9","Clear","3M™","","","Laptops","14 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","304 mm x 175 mm","12 3/16"" x 6 7/8""","Limited 1-year warranty","00051128829929","1260360","http://multimedia.3m.com/mws/media/1260360Z/ag140w9b-ag-filter-34871944541-ft-rgb-150-png.jpg"
"AG195W9B","3M™ Anti-Glare Filter for 19.5"" Widescreen Monitor","3M™ Anti-Glare Filter for 19.5"" Widescreen Monitor","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","","","","","Yes","No","16:9","Clear","3M™","","","Monitors","19.5 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","433 mm x 237 mm","17"" x 9 5/16""","Limited 1-year warranty","00051128829981","935383","http://multimedia.3m.com/mws/media/935383O/3mtm-anti-glare-filter-for-desktop-monitors.jpg"
"AG190W1B","3M™ Anti-Glare Filter for 19"" Widescreen Monitor (16:10)","3M™ Anti-Glare Filter for 19"" Widescreen Monitor (16:10)","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","","","","","Yes","No","16:10","Clear","3M™","","","Monitors","19 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","408 mm x 255 mm","16 1/16"" x 10 1/16""","Limited 1-year warranty","00051128829998","934756","http://multimedia.3m.com/mws/media/934756O/3mtm-frameless-anti-glare-filters-ag19-0w-package.jpg"
"AG230W9B","3M™ Anti-Glare Filter for 23"" Widescreen Monitor","3M™ Anti-Glare Filter for 23"" Widescreen Monitor","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","","","","","Yes","No","16:9","Clear","3M™","","","Monitors","23 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","510 mm x 287 mm","20 1/16"" x 11 5/16""","Limited 1-year warranty","00051128830017","934754","http://multimedia.3m.com/mws/media/934754O/3mtm-frameless-anti-glare-filters-ag23-0w9-package.jpg"
"AG125W9B","3M™ Anti-Glare Filter for 12.5"" Widescreen Laptop","3M™ Anti-Glare Filter for 12.5"" Widescreen Laptop","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance","","","","","","","","Yes","No","16:9","Clear","3M™","","","Laptops","12.5 inches","Yes","Frameless","","No","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","Yes","277 mm x 156 mm","10 15/16"" x 6 1/8""","Limited 1-year warranty","00051128830086","1260350","http://multimedia.3m.com/mws/media/1260350Z/ag125w9b-ag-filter-34871944616-ft-rgb-150-png.jpg"
"MPF828717","3M™ Privacy Screen Protector for Apple® iPhone® 5/5S/5C/SE Portrait","3M™ Privacy Screen Protector for Apple® iPhone® 5/5S/5C/SE Portrait","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Effective privacy in portrait mode; change orientation for shareable screen viewing","Thin and touch-sensitive","Incredible image clarity and glossy finish","Custom fit for various phone sizes and brands","Adds an extra layer of protection from everyday scratches and dust","Residue-free adhesive-backed screen protector attaches easily and removes cleanly ","100% hand inspected for quality assurance               
","","","","","","","","No","No","","Black","3M™","Apple®","iPhone® 5/5S/5C/SE","Smartphones","4 inches","Yes","Screen Protector","Portrait","Yes","Yes","Adhesive Backed","","Yes","50 mm x 89 mm","2"" x 3 1/2""","Limited 1-year warranty","00051128828717","1049257","http://multimedia.3m.com/mws/media/1049257O/apple-iphone-5-priv-screen-protector.jpg"
